   428→const AREA_UPGRADES: Record<string, Upgrade[]> = {
   429→  ratnapura: [
  1065→        const bv = s.clickPower * s.multiplier * 10 * (1 + s.prestigePoints * 0.1);
  1066→        updates.goldenActive = true;
  1067→        updates.goldenTimer = 400;
  1068→        updates.goldenClickValue = Math.round(bv * 10) / 10;
  1069→      }
  1070→    }
  1071→
  1072→    // Event timer
  1073→    if (s.activeEvent) {
  1074→      if (s.eventTimer > 0) updates.eventTimer = s.eventTimer - 1;
  1075→      else { updates.activeEvent = null; updates.eventTimer = 0; }
  1076→    } else if (s.totalClicks > 50 && Math.random() < 0.0003) {
  1077→      const t = EVENT_DEFS[Math.floor(Math.random() * EVENT_DEFS.length)];
  1078→      updates.activeEvent = { ...t, timer: t.duration };
  1079→      updates.eventTimer = t.duration;
  1080→      updates.totalEvents = s.totalEvents + 1;
  1081→      const q = [...s.achievementQueue];
  1082→      q.push({ id: `evt_${Date.now()}`, name: t.name, description: t.description, icon: t.icon, unlocked: true, unlockedAt: Date.now(), condition: () => false });
  1083→      updates.achievementQueue = q;
  1084→      // Schedule achievement check after this set
  1085→      setTimeout(() => get().checkAchievements(), 0);
  1086→    }
  1087→
  1088→    // Power-up timer
  1089→    if (s.activePowerUp) {
  1090→      if (s.powerUpTimer > 0) updates.powerUpTimer = s.powerUpTimer - 1;
  1091→      else { updates.activePowerUp = null; updates.powerUpTimer = 0; }
  1092→    } else if (s.totalClicks > 20 && Math.random() < 0.0008) {
  1093→      const t = POWER_UP_DEFS[Math.floor(Math.random() * POWER_UP_DEFS.length)];
  1094→      if (t.effect === 'instantBonus') {
  1095→        const b = Math.round((s.autoRate * 30 + s.clickPower * 5) * 10) / 10;
  1096→        updates.crystals = Math.round(((updates.crystals ?? s.crystals) + b) * 100) / 100;
  1097→        updates.totalEarned = Math.round(((updates.totalEarned ?? s.totalEarned) + b) * 100) / 100;
  1098→        updates.crystalPulse = 2;
  1099→      } else {
  1100→        updates.activePowerUp = { ...t, timer: t.duration };
  1101→        updates.powerUpTimer = t.duration;
  1102→      }
  1103→    }
  1104→
  1105→    // Notification timer
  1106→    if (s.currentNotification) {
  1107→      if (s.notificationTimer > 0) updates.notificationTimer = s.notificationTimer - 1;
  1108→      else { updates.currentNotification = null; updates.notificationTimer = 0; }
  1109→    } else if (s.achievementQueue.length > 0) {
  1110→      const [next, ...rest] = s.achievementQueue;
  1111→      updates.currentNotification = next;
  1112→      updates.notificationTimer = 30;
  1113→      updates.achievementQueue = rest;
  1114→    }
  1115→
  1116→    // Click speed
  1117→    const now = Date.now();
  1118→    const r = s.clickTimestamps.filter(t => now - t < 1000);
  1119→    updates.clickTimestamps = r;
  1120→    updates.clicksPerSecond = r.length;
  1121→
  1122→    // Screen shake / crystal pulse clear
  1123→    if (s.screenShake) setTimeout(() => set({ screenShake: false }), 150);
  1124→    if (s.crystalPulse > 0) setTimeout(() => set({ crystalPulse: 0 }), 200);
  1125→
  1126→    if (Object.keys(updates).length > 0) set(updates);
  1127→  },
  1128→
  1129→  switchArea: (areaId) => set({ currentArea: areaId }),
  1130→
  1131→  checkAreaUnlocks: () => {
  1132→    const s = get();
  1133→    const newlyUnlocked = AREAS.filter(a => a.unlockAt > 0 && s.totalEarned >= a.unlockAt && !s.unlockedAreas.includes(a.id)).map(a => a.id);
  1134→    if (newlyUnlocked.length > 0) set({ unlockedAreas: [...s.unlockedAreas, ...newlyUnlocked] });
  1135→  },
  1136→
  1137→  checkMilestones: () => {
  1138→    const s = get();
  1139→    get().checkAreaUnlocks();
  1140→    const nm = s.milestones.map(m => (!m.celebrated && s.totalEarned >= m.value ? { ...m, celebrated: true } : m));
  1141→    const just = nm.find((m, i) => m.celebrated && !s.milestones[i].celebrated);
  1142→    if (just) {
  1143→      set({ milestones: nm, screenShake: true, crystalPulse: 5 });
  1144→      get().addFloatingText(window.innerWidth / 2, window.innerHeight / 2, 0, 'milestone');
  1145→    }
  1146→  },
  1147→
  1148→  addFloatingText: (x, y, value, type = 'normal') => {
  1149→    const s = get(); const ft: FloatingText = { id: s.floatingTextId, value, x, y, type };
  1150→    set({ floatingTexts: [...s.floatingTexts, ft] });
  1151→    setTimeout(() => get().removeFloatingText(ft.id), 1200);
  1152→  },
  1153→
  1154→  removeFloatingText: (id) => { set({ floatingTexts: get().floatingTexts.filter(t => t.id !== id) }); },
  1155→
  1156→  setActiveTab: (tab) => set({ activeTab: tab }),
  1157→
  1158→  checkAchievements: () => {
  1159→    const s = get(); const q = [...s.achievementQueue];
  1160→    const na = s.achievements.map(a => {
  1161→      if (!a.unlocked && a.condition(s)) { q.push({ ...a, unlocked: true, unlockedAt: Date.now() }); return { ...a, unlocked: true, unlockedAt: Date.now() }; }
  1162→      return a;
  1163→    });
  1164→    set({ achievements: na, achievementQueue: q });
  1165→  },
  1166→
  1167→  resetGame: () => {
  1168→    set({
  1169→      crystals: 0, totalClicks: 0, totalEarned: 0, clickPower: 1, multiplier: 1, autoRate: 0,
  1170→      prestige: 0, prestigePoints: 0, combo: 0, comboTimer: 0, maxCombo: 0, lastClickTime: 0,
  1171→      clickTimestamps: [], clicksPerSecond: 0, critChance: 0.05, critMultiplier: 5, totalCrits: 0,
  1172→      goldenClicks: 0, goldenChance: 0.03, goldenActive: false, goldenTimer: 0, goldenClickValue: 0,
  1173→      activePowerUp: null, powerUpTimer: 0, activeEvent: null, eventTimer: 0, totalEvents: 0,
  1174→      buyQuantity: 1 as BuyQuantity,
  1175→      sessionStartTime: Date.now(), sessionClicks: 0, sessionEarned: 0,
  1176→      milestones: MILESTONE_DEFS.map(m => ({ ...m, celebrated: false })),
  1177→      lastOnlineTime: Date.now(), offlineEarned: 0, showOfflineBonus: false,
  1178→      floatingTexts: [], floatingTextId: 0, achievementQueue: [], currentNotification: null, notificationTimer: 0,
  1179→      ripples: [], rippleId: 0,
  1180→      currentArea: 'naica', unlockedAreas: ['naica'],
  1181→      upgrades: [
  1182→        ...DEFAULT_UPGRADES.map(u => ({ ...u })),
  1183→        ...Object.values(AREA_UPGRADES).flat().map(u => ({ ...u })),
  1184→      ], achievements: buildAchievementConditions(),
  1185→      screenShake: false, crystalPulse: 0, activeTab: 'upgrades',
  1186→    });
  1187→  },
  1188→
  1189→  claimOfflineEarnings: () => {
  1190→    const s = get(); if (s.offlineEarned <= 0) return;
  1191→    set({
  1192→      crystals: Math.round((s.crystals + s.offlineEarned) * 100) / 100,
  1193→      totalEarned: Math.round((s.totalEarned + s.offlineEarned) * 100) / 100,
  1194→      offlineEarned: 0, showOfflineBonus: false,
  1195→    });
  1196→    get().checkAchievements(); get().checkMilestones();
  1197→  },
  1198→
  1199→  dismissOfflineBonus: () => set({ offlineEarned: 0, showOfflineBonus: false }),
  1200→
  1201→  loadSave: (data) => {
  1202→    const su = data.upgrades as { id: string; level: number }[] | undefined;
  1203→    const allDefaults = [
  1204→      ...DEFAULT_UPGRADES,
  1205→      ...Object.values(AREA_UPGRADES).flat(),
  1206→    ];
  1207→    const upgrades = allDefaults.map(u => {
  1208→      const saved = su?.find(s => s.id === u.id);
  1209→      return { ...u, level: saved?.level ?? 0 };
  1210→    });
  1211→    const la = data.achievements as { id: string; unlocked: boolean }[] | undefined;
  1212→    let achievements = buildAchievementConditions();
  1213→    if (la) achievements = achievements.map(a => {
  1214→      const l = la.find(x => x.id === a.id);
  1215→      return { ...a, unlocked: l?.unlocked ?? false };
  1216→    });
  1217→    const stats = recalcStats(upgrades);
  1218→    const lastOnline = (data.lastOnlineTime as number) || Date.now();
  1219→    const elapsed = Date.now() - lastOnline;
  1220→    const prestigeMult = 1 + (data.prestige as number || 0) * 0.1;
  1221→    const offlineEarned = stats.autoRate > 0 && elapsed >= 60000
  1222→      ? Math.round(stats.autoRate * prestigeMult * (Math.min(elapsed, 8 * 3600000) / 1000) * 0.5 * 100) / 100
  1223→      : 0;
  1224→    const currentArea = (data.currentArea as string) || 'naica';
  1225→    const unlockedAreas = (data.unlockedAreas as string[]) || ['naica'];
  1226→    set({
  1227→      crystals: (data.crystals as number) ?? 0, totalClicks: (data.totalClicks as number) ?? 0,
  1228→      totalEarned: (data.totalEarned as number) ?? 0, ...stats,
  1229→      prestige: (data.prestige as number) ?? 0, prestigePoints: (data.prestigePoints as number) ?? 0,
  1230→      goldenClicks: (data.goldenClicks as number) ?? 0, totalCrits: (data.totalCrits as number) ?? 0,
  1231→      maxCombo: (data.maxCombo as number) ?? 0, totalEvents: (data.totalEvents as number) ?? 0,
  1232→      upgrades, achievements, lastOnlineTime: Date.now(),
  1233→      offlineEarned, showOfflineBonus: offlineEarned > 0,
  1234→      currentArea, unlockedAreas,
  1235→    });
  1236→    get().checkAreaUnlocks();
  1237→  },
  1238→
  1239→  getSaveData: () => {
  1240→    const s = get();
  1241→    return {
  1242→      crystals: s.crystals, totalClicks: s.totalClicks, totalEarned: s.totalEarned,
  1243→      clickPower: s.clickPower, multiplier: s.multiplier, autoRate: s.autoRate,
  1244→      prestige: s.prestige, prestigePoints: s.prestigePoints,
  1245→      upgrades: s.upgrades.map(u => ({ id: u.id, level: u.level })),
  1246→      achievements: s.achievements.map(a => ({ id: a.id, unlocked: a.unlocked })),
  1247→      goldenClicks: s.goldenClicks, totalCrits: s.totalCrits, maxCombo: s.maxCombo,
  1248→      totalEvents: s.totalEvents, lastOnlineTime: Date.now(),
  1249→      currentArea: s.currentArea, unlockedAreas: s.unlockedAreas,
  1250→    };
  1251→  },
  1252→}));
  1253→
